year,imdb_id,metric_value
2010,tt0435761,1066969703
2010,tt1014759,1025467110
2010,tt0926084,954305868
2010,tt1375666,825532764
2010,tt0892791,752600867
2010,tt1325004,698491347
2010,tt1228705,623933331
2010,tt0398286,592461732
2010,tt1323594,533679475
2010,tt0892769,494879471
2010,tt0800320,493214993
2010,tt0980970,415686217
2010,tt1504320,414211549
2010,tt1104001,400062763
2010,tt1155076,359126022
2010,tt0473075,336365676
2010,tt0947798,329398046
2010,tt1001526,321885765
2010,tt0955308,321669741
2010,tt0938283,319713881
2014,tt2109248,1104054072
2014,tt2310332,956019788
2014,tt2015381,772776600
2014,tt1587310,758539785
2014,tt1951265,755356711
2014,tt1877832,747862775
2014,tt1843866,714766572
2014,tt2103281,710644566
2014,tt1872181,708962323
2014,tt0816692,701729206
2014,tt2245084,657827828
2014,tt1646971,621537519
2014,tt2179136,542307423
2014,tt0831387,529076069
2014,tt2357291,500188435
2014,tt1291150,485004754
2014,tt1490017,469160692
2014,tt2872732,458863600
2014,tt2802144,414351546
2014,tt1911658,373552094
2008,tt0468569,1004558444
2008,tt0367882,786636033
2008,tt0441773,631744560
2008,tt0448157,629443428
2008,tt0795421,609841637
2008,tt0479952,603900354
2008,tt0830515,589580482
2008,tt0371746,585174222
2008,tt0910970,521311860
2008,tt0499448,419665568
2008,tt1000774,418765519
2008,tt0859163,403449830
2008,tt1099212,393616788
2008,tt1010048,378410542
2008,tt0493464,342463063
2008,tt0421715,335802786
2008,tt0397892,309979994
2008,tt0451079,298572799
2008,tt1205489,269958228
2008,tt0443649,269784201
2009,tt0499549,2923706026
2009,tt0417741,933959197
2009,tt1080016,886686817
2009,tt1055369,836303693
2009,tt1190080,791217826
2009,tt1049413,735099082
2009,tt1259571,709827462
2009,tt0988045,524028679
2009,tt0808151,485930816
2009,tt1119646,469310836
2009,tt1231580,443140005
2009,tt1078912,413106170
2009,tt0796366,385680446
2009,tt0892782,381509870
2009,tt0458525,373062864
2009,tt0438488,371353001
2009,tt1013752,363164265
2009,tt1067106,325286646
2009,tt1142988,321682600
2009,tt0361748,321457747
2012,tt0848228,1518815515
2012,tt1074638,1142471295
2012,tt1345836,1081041287
2012,tt0903624,1021103568
2012,tt1667889,877244782
2012,tt1673434,829747654
2012,tt0948470,757930663
2012,tt1277953,746921274
2012,tt1392170,694394724
2012,tt1409024,624026776
2012,tt0454876,609016565
2012,tt1637725,549368315
2012,tt1217209,538983207
2012,tt1772341,471222889
2012,tt1707386,441809770
2012,tt1853728,425368238
2012,tt1446714,403354469
2012,tt1735898,396600000
2012,tt1397280,376141306
2012,tt0837562,358375603
2016,tt3498820,1155046416
2016,tt3748528,1056057273
2016,tt2277860,1028570889
2016,tt2948356,1023784195
2016,tt3040964,966550600
2016,tt2709768,875457937
2016,tt2975590,873637528
2016,tt3183660,809342332
2016,tt1431045,783100000
2016,tt1386697,746846894
2016,tt3521164,690860472
2016,tt1211837,676343174
2016,tt3470600,634151679
2016,tt4701660,553810228
2016,tt3385516,543934787
2016,tt2267968,521170825
2016,tt3783958,447407695
2016,tt0803096,433677183
2016,tt4196776,415484914
2016,tt3416828,408579038
2018,tt4154756,2052415039
2018,tt1825683,1349926083
2018,tt4881806,1310466296
2018,tt3606756,1242805359
2018,tt1477834,1148528393
2018,tt1727824,903992901
2018,tt1270797,856085151
2018,tt4912910,791657398
2018,tt5463162,785896609
2018,tt4123430,654855901
2018,tt5095030,622674139
2018,tt1677720,607274134
2018,tt6878882,579220560
2018,tt4779682,530517320
2018,tt5848272,529323962
2018,tt5220122,528600000
2018,tt2709692,508575295
2018,tt4701182,467989645
2018,tt1517451,433888866
2018,tt2231461,428028233
1999,tt0120915,924317558
1999,tt0167404,672806292
1999,tt0120363,497366869
1999,tt0133093,463517383
1999,tt0120855,448191819
1999,tt0120616,415885488
1999,tt0125439,363889678
1999,tt0143145,361832400
1999,tt0169547,356296601
1999,tt0145660,312016928
1999,tt0163187,309457509
1999,tt0164912,300135367
1999,tt0120689,286801374
1999,tt0185937,248639099
1999,tt0163651,235483004
1999,tt0142342,234801895
1999,tt0120891,222104681
1999,tt0137494,212404396
1999,tt0146675,211989043
1999,tt0162661,206071502
1994,tt0110357,763455561
1994,tt0109830,677387716
1994,tt0111503,378882411
1994,tt0110475,351583407
1994,tt0111257,350448145
1994,tt0109813,341631208
1994,tt0109686,247275374
1994,tt0109831,245700832
1994,tt0110148,223664608
1994,tt0109444,215887717
1994,tt0109635,214015089
1994,tt0110912,213900000
1994,tt0111282,196567262
1994,tt0111070,189833357
1994,tt0110478,183031272
1994,tt0111255,170362582
1994,tt0110322,160638883
1994,tt0111742,131002597
1994,tt0111280,120000000
1994,tt0109254,119208989
2001,tt0241527,976475550
2001,tt0120737,871368364
2001,tt0198781,579707738
2001,tt0126029,487853320
2001,tt0240772,450717150
2001,tt0213149,449220945
2001,tt0209163,443280904
2001,tt0163025,368780809
2001,tt0133152,362211740
2001,tt0212985,351692268
2001,tt0266915,347325802
2001,tt0268978,316800000
2001,tt0252866,287553595
2001,tt0243155,281929795
2001,tt0245429,274925095
2001,tt0146316,274703340
2001,tt0212720,235926552
2001,tt0230600,209947037
2001,tt0232500,207283925
2001,tt0259711,203388341
2019,tt4154796,2800000000
2019,tt6105098,1663075401
2019,tt4520988,1450026933
2019,tt6320628,1131927996
2019,tt4154664,1131416446
2019,tt7286456,1074458282
2019,tt2527338,1074144248
2019,tt1979376,1073394593
2019,tt6139732,1054304000
2019,tt7975244,801693929
2019,tt6806448,760098996
2019,tt10627720,742500000
2019,tt2386490,524580592
2019,tt4777008,491730089
2019,tt7349950,473122525
2019,tt10147382,450064993
2019,tt5884052,449762638
2019,tt0437086,404980543
2019,tt8579674,394638258
2019,tt3741700,386600138
1997,tt0120338,2264162353
1997,tt0119567,618638999
1997,tt0119654,589390539
1997,tt0120347,333011068
1997,tt0118571,315156409
1997,tt0119822,314178011
1997,tt0119528,302710615
1997,tt0119738,299288605
1997,tt0119116,263920180
1997,tt0119164,257850122
1997,tt0119282,252712101
1997,tt0118689,251212670
1997,tt0119094,245676146
1997,tt0118688,238207122
1997,tt0118799,230098753
1997,tt0119217,225933435
1997,tt0118880,224012234
1997,tt0118928,178127760
1997,tt0119137,177977226
1997,tt0119190,174463257
2003,tt0167260,1118888979
2003,tt0266543,940335536
2003,tt0234215,738599701
2003,tt0325980,655011224
2003,tt0315327,484592874
2003,tt0325710,456758981
2003,tt0181852,435000000
2003,tt0242653,424988211
2003,tt0290334,407711549
2003,tt0420076,334000000
2003,tt0172156,273339556
2003,tt0337741,266728738
2003,tt0305357,259175788
2003,tt0328880,250397798
2003,tt0286716,245360480
2003,tt0314331,244931766
2003,tt0322259,236350661
2003,tt0328828,231449203
2003,tt0319343,225097437
2003,tt0306047,220673217
2013,tt2294629,1274219009
2013,tt1300854,1215577205
2013,tt1690953,970761885
2013,tt1170358,958400000
2013,tt1951264,865011746
2013,tt1905041,788680968
2013,tt1453405,743559607
2013,tt1454468,723192705
2013,tt0770828,668045518
2013,tt1981115,644783140
2013,tt0481499,587204668
2013,tt0816711,531865000
2013,tt1623205,491868548
2013,tt1408101,467365246
2013,tt1430132,415440673
2013,tt1663662,411002906
2013,tt0993846,392000000
2013,tt1583421,371876278
2013,tt1951261,362000072
2013,tt1670345,351723989
2015,tt2488496,2068223624
2015,tt0369610,1671537444
2015,tt2820852,1515341399
2015,tt2395427,1405403694
2015,tt2293640,1156730962
2015,tt2379713,880674609
2015,tt2096673,857611174
2015,tt2381249,682716636
2015,tt1951266,653428261
2015,tt3659388,630600000
2015,tt2322441,571006128
2015,tt1661199,543514353
2015,tt1663202,532950503
2015,tt0478970,519311965
2015,tt2126355,473990832
2015,tt2510894,473226958
2015,tt1340138,440603537
2015,tt3781476,387053506
2015,tt1392190,378858340
2015,tt2224026,368871007
2017,tt2527336,1332698830
2017,tt2771200,1266115964
2017,tt4630562,1236005118
2017,tt3469046,1031552585
2017,tt2283362,995339117
2017,tt2250912,880166924
2017,tt7131870,870322670
2017,tt3896198,863756051
2017,tt3501632,855301806
2017,tt0451279,822854286
2017,tt2380307,800526015
2017,tt1790809,795922298
2017,tt1396484,701800000
2017,tt0974015,657926987
2017,tt3315342,619021436
2017,tt3371366,605425157
2017,tt3731562,566652812
2017,tt3874544,527965936
2017,tt5013056,527000000
2017,tt3450958,490719763
2002,tt0167261,926287400
2002,tt0295297,876688482
2002,tt0145487,821708551
2002,tt0121765,649398328
2002,tt0120912,445135288
2002,tt0246460,431971116
2002,tt0286106,408247917
2002,tt0268380,383257136
2002,tt0259446,368744044
2002,tt0181689,358372926
2002,tt0264464,352114312
2002,tt0299658,306776732
2002,tt0295178,296938801
2002,tt0295701,277448382
2002,tt0267913,275650703
2002,tt0275847,273144151
2002,tt0298130,249348933
2002,tt0298203,242875078
2002,tt0258463,214034224
2002,tt0289765,209196298
2011,tt1201607,1341511219
2011,tt1399103,1123794079
2011,tt1298650,1045713802
2011,tt1324999,712171856
2011,tt1229238,694713380
2011,tt1302011,665692281
2011,tt1596343,626137675
2011,tt1411697,586764305
2011,tt0472181,563749323
2011,tt1216475,559852396
2011,tt0448694,554987477
2011,tt1436562,484635760
2011,tt1318514,482860185
2011,tt0800369,449326618
2011,tt1675434,426588510
2011,tt0983193,373993951
2011,tt0458339,370569774
2011,tt1270798,353624124
2011,tt1615918,342695435
2011,tt1515091,334615000
2004,tt0298148,928760770
2004,tt0304141,789804554
2004,tt0316654,788976453
2004,tt0317705,631442092
2004,tt0335345,611899420
2004,tt0319262,552639571
2004,tt0290002,516642939
2004,tt0332452,497409852
2004,tt0307453,367275019
2004,tt0349903,362744280
2004,tt0368891,347512318
2004,tt0343818,347234916
2004,tt0338348,310634054
2004,tt0338526,300257475
2004,tt0372183,288500217
2004,tt0317198,262500000
2004,tt0368447,256697520
2004,tt0347149,236049757
2004,tt0361596,222446882
2004,tt0362227,219417255
2005,tt0330373,895921036
2005,tt0121766,850000000
2005,tt0363771,745013115
2005,tt0407304,603873119
2005,tt0360717,562363449
2005,tt0351283,542063846
2005,tt0356910,487287646
2005,tt0367594,474968763
2005,tt0372784,374218673
2005,tt0386588,371600000
2005,tt0120667,333535934
2005,tt0371606,314432665
2005,tt0396269,288485135
2005,tt0358082,262511490
2005,tt0360486,230884728
2005,tt0408790,223387299
2005,tt0320661,218122627
2005,tt0369441,202026112
2005,tt0395699,198636868
2005,tt0312004,192610372
1995,tt0114709,394400000
1995,tt0112864,366101666
1995,tt0112384,355237933
1995,tt0113189,352194034
1995,tt0114148,346079773
1995,tt0112462,336529144
1995,tt0114369,327311859
1995,tt0112642,287928194
1995,tt0114898,264218220
1995,tt0113497,262821940
1995,tt0112431,254134910
1995,tt0112573,213216216
1995,tt0112281,212385533
1995,tt0114069,189859560
1995,tt0113277,187436818
1995,tt0114924,182057016
1995,tt0112579,182016617
1995,tt0112792,179519401
1995,tt0114746,168841459
1995,tt0112740,157387195
1977,tt0076759,775398007
1977,tt0075860,306889114
1977,tt0076666,237113184
1977,tt0076752,185438673
1977,tt0076729,126737428
1977,tt0076095,102000000
1977,tt0075925,100000000
1977,tt0076618,71215869
1977,tt0075784,50750000
1977,tt0076489,41687243
1977,tt0075686,38288028
1977,tt0076141,31063038
1977,tt0076009,30749142
1977,tt0075648,30000000
1977,tt0076137,29000000
1977,tt0076723,28000000
1977,tt0076070,26414658
1977,tt0077681,25000000
1977,tt0076327,22512655
1977,tt0076245,20700000
1972,tt0068646,245066411
1972,tt0069113,84563118
1972,tt0069495,66000000
1972,tt0068473,46122355
1972,tt0068762,44700000
1972,tt0068638,36734619
1972,tt0070849,36182181
1972,tt0069332,30000000
1972,tt0068935,27000000
1972,tt0068612,25000000
1972,tt0068837,22000000
1972,tt0068555,18016290
1972,tt0068611,12600000
1972,tt0068408,9700000
1972,tt0070959,8000000
1972,tt0068421,7500000
1972,tt0068768,6330000
1972,tt0069089,6000000
1972,tt0069281,5750000
1972,tt0068718,3500000
1985,tt0088763,381109762
1985,tt0089927,300473716
1985,tt0089880,300400432
1985,tt0089755,227514205
1985,tt0090264,152427960
1985,tt0088939,146292000
1985,tt0089370,96773200
1985,tt0088933,85313124
1985,tt0090142,80000000
1985,tt0090329,68706993
1985,tt0089218,61389680
1985,tt0090056,60088980
1985,tt0089155,59612888
1985,tt0088944,57500000
1985,tt0089822,55600000
1985,tt0088847,51525171
1985,tt0089670,49364621
1985,tt0088850,45833132
1985,tt0089560,42400000
1985,tt0090319,42160849
2021,tt10872600,1921847111
2021,tt13462900,902540935
2021,tt13364790,822049668
2021,tt2382320,774153007
2021,tt5433138,726229501
2021,tt10370822,686257563
2021,tt7097896,506863592
2021,tt5034838,470116094
2021,tt9376612,432243292
2021,tt6467266,406000000
2021,tt9032400,402064899
2021,tt1160419,402027830
2021,tt3480822,379751131
2021,tt6264654,331526598
2021,tt8332922,297400000
2021,tt2953050,253000000
2021,tt3228774,233503234
2021,tt0870154,220889446
2021,tt7069210,206431050
2021,tt8165192,205000000
2007,tt0449088,961000000
2007,tt0373889,938212738
2007,tt0413300,894983373
2007,tt0413267,813367380
2007,tt0418279,709709780
2007,tt0382932,623726000
2007,tt0480249,585410052
2007,tt0462538,527068851
2007,tt0465234,459242249
2007,tt0416449,456082343
2007,tt0440963,442824138
2007,tt0337978,383531464
2007,tt0385752,372234864
2007,tt0952640,361366633
2007,tt0461770,340487652
2007,tt0496806,311312624
2007,tt0486576,301913131
2007,tt0389790,287594577
2007,tt0765429,266465037
2007,tt0293564,258022233
2000,tt0120755,546388105
2000,tt0172495,465361176
2000,tt0162222,429632142
2000,tt0207201,374111707
2000,tt0130623,354248063
2000,tt0170016,345823040
2000,tt0212338,330444045
2000,tt0177971,325756637
2000,tt0120903,296339527
2000,tt0161081,291420351
2000,tt0175142,278019771
2000,tt0160127,264105545
2000,tt0195685,256271286
2000,tt0217869,248118121
